"halaman_pdf","alasan","teks"
"103","margin_kepala_kaki","Tentara Nasional Indonesia (TNI) dan Kepolisian Negara Republik Indonesia (Polri)  |  71"
"103","teks_miring_watermark","https://www.bps.go.id"
"104","margin_kepala_kaki","72 | Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"104","teks_miring_watermark","https://www.bps.go.id"
"105","margin_kepala_kaki","Tentara Nasional Indonesia (TNI) dan Kepolisian Negara Republik Indonesia (Polri)  |  73"
"105","teks_miring_watermark","https://www.bps.go.id"
"106","margin_kepala_kaki","74 | Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"106","teks_miring_watermark","https://www.bps.go.id"
"107","margin_kepala_kaki","Tentara Nasional Indonesia (TNI) dan Kepolisian Negara Republik Indonesia (Polri)  |  75"
"107","teks_miring_watermark","https://www.bps.go.id"
"108","margin_kepala_kaki","76 | Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"108","teks_miring_watermark","https://www.bps.go.id"
"109","margin_kepala_kaki","Tentara Nasional Indonesia (TNI) dan Kepolisian Negara Republik Indonesia (Polri)  |  77"
"109","teks_miring_watermark","https://www.bps.go.id"
"110","margin_kepala_kaki","78 | Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"110","teks_miring_watermark","https://www.bps.go.id"
"111","margin_kepala_kaki","Tentara Nasional Indonesia (TNI) dan Kepolisian Negara Republik Indonesia (Polri)  |  79"
"111","teks_miring_watermark","https://www.bps.go.id"
"112","margin_kepala_kaki","80 | Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"112","teks_miring_watermark","https://www.bps.go.id"
"113","margin_kepala_kaki","Tentara Nasional Indonesia (TNI) dan Kepolisian Negara Republik Indonesia (Polri)  |  81"
"113","teks_miring_watermark","https://www.bps.go.id"
"114","margin_kepala_kaki","82 | Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"114","teks_miring_watermark","https://www.bps.go.id"
"115","margin_kepala_kaki","Tentara Nasional Indonesia (TNI) dan Kepolisian Negara Republik Indonesia (Polri)  |  83"
"115","teks_miring_watermark","https://www.bps.go.id"
"116","margin_kepala_kaki","84 | Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"116","teks_miring_watermark","https://www.bps.go.id"
"117","margin_kepala_kaki","Tentara Nasional Indonesia (TNI) dan Kepolisian Negara Republik Indonesia (Polri)  |  85"
"117","teks_miring_watermark","https://www.bps.go.id"
"118","margin_kepala_kaki","86 | Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"118","teks_miring_watermark","https://www.bps.go.id"
"119","margin_kepala_kaki","Tentara Nasional Indonesia (TNI) dan Kepolisian Negara Republik Indonesia (Polri)  |  87"
"119","teks_miring_watermark","https://www.bps.go.id"
"120","margin_kepala_kaki","88 | Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"120","teks_miring_watermark","https://www.bps.go.id"
"121","margin_kepala_kaki","Tentara Nasional Indonesia (TNI) dan Kepolisian Negara Republik Indonesia (Polri)  |  89"
"121","teks_miring_watermark","https://www.bps.go.id"
"122","margin_kepala_kaki","90 | Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"122","teks_miring_watermark","https://www.bps.go.id"
"123","margin_kepala_kaki","Tentara Nasional Indonesia (TNI) dan Kepolisian Negara Republik Indonesia (Polri)  |  91"
"123","teks_miring_watermark","https://www.bps.go.id"
"124","margin_kepala_kaki","92 | Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"124","teks_miring_watermark","https://www.bps.go.id"
"125","margin_kepala_kaki","Tentara Nasional Indonesia (TNI) dan Kepolisian Negara Republik Indonesia (Polri)  |  93"
"125","teks_miring_watermark","https://www.bps.go.id"
"126","margin_kepala_kaki","94 | Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"126","teks_miring_watermark","https://www.bps.go.id"
"127","margin_kepala_kaki","Tentara Nasional Indonesia (TNI) dan Kepolisian Negara Republik Indonesia (Polri)  |  95"
"127","teks_miring_watermark","https://www.bps.go.id"
"128","margin_kepala_kaki","96 | Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"128","teks_miring_watermark","https://www.bps.go.id"
"129","margin_kepala_kaki","Tentara Nasional Indonesia (TNI) dan Kepolisian Negara Republik Indonesia (Polri)  |  97"
"129","teks_miring_watermark","https://www.bps.go.id"
"130","margin_kepala_kaki","98 | Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"130","teks_miring_watermark","https://www.bps.go.id"
"131","margin_kepala_kaki","Tentara Nasional Indonesia (TNI) dan Kepolisian Negara Republik Indonesia (Polri)  |  99"
"131","teks_miring_watermark","https://www.bps.go.id"
"132","margin_kepala_kaki","100 | Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"132","teks_miring_watermark","https://www.bps.go.id"
"133","margin_kepala_kaki","Tentara Nasional Indonesia (TNI) dan Kepolisian Negara Republik Indonesia (Polri)  |  101"
"133","teks_miring_watermark","https://www.bps.go.id"
"134","margin_kepala_kaki","102 | Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"134","teks_miring_watermark","https://www.bps.go.id"
"135","margin_kepala_kaki","Tentara Nasional Indonesia (TNI) dan Kepolisian Negara Republik Indonesia (Polri)  |  103"
"135","teks_miring_watermark","https://www.bps.go.id"
"136","margin_kepala_kaki","104 | Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"136","teks_miring_watermark","https://www.bps.go.id"
"137","margin_kepala_kaki","Tentara Nasional Indonesia (TNI) dan Kepolisian Negara Republik Indonesia (Polri)  |  105"
"137","teks_miring_watermark","https://www.bps.go.id"
"138","margin_kepala_kaki","106 | Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"138","teks_miring_watermark","https://www.bps.go.id"
"139","margin_kepala_kaki","Tentara Nasional Indonesia (TNI) dan Kepolisian Negara Republik Indonesia (Polri)  |  107"
"139","teks_miring_watermark","https://www.bps.go.id"
"140","margin_kepala_kaki","108 | Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"140","teks_miring_watermark","https://www.bps.go.id"
"141","margin_kepala_kaki","Tentara Nasional Indonesia (TNI) dan Kepolisian Negara Republik Indonesia (Polri)  |  109"
"141","teks_miring_watermark","https://www.bps.go.id"
"142","margin_kepala_kaki","110 | Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"142","teks_miring_watermark","https://www.bps.go.id"
"143","margin_kepala_kaki","Tentara Nasional Indonesia (TNI) dan Kepolisian Negara Republik Indonesia (Polri)  |  111"
"143","teks_miring_watermark","https://www.bps.go.id"
"144","margin_kepala_kaki","112 | Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"144","teks_miring_watermark","https://www.bps.go.id"
"145","margin_kepala_kaki","Tentara Nasional Indonesia (TNI) dan Kepolisian Negara Republik Indonesia (Polri)  |  113"
"145","teks_miring_watermark","https://www.bps.go.id"
"146","margin_kepala_kaki","114 | Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"146","teks_miring_watermark","https://www.bps.go.id"
"147","margin_kepala_kaki","Tentara Nasional Indonesia (TNI) dan Kepolisian Negara Republik Indonesia (Polri)  |  115"
"147","teks_miring_watermark","https://www.bps.go.id"
"148","margin_kepala_kaki","116 | Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"148","teks_miring_watermark","https://www.bps.go.id"
"149","margin_kepala_kaki","Tentara Nasional Indonesia (TNI) dan Kepolisian Negara Republik Indonesia (Polri)  |  117"
"149","teks_miring_watermark","https://www.bps.go.id"
"150","margin_kepala_kaki","118 | Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"150","teks_miring_watermark","https://www.bps.go.id"
"151","margin_kepala_kaki","Tentara Nasional Indonesia (TNI) dan Kepolisian Negara Republik Indonesia (Polri)  |  119"
"151","teks_miring_watermark","https://www.bps.go.id"
"152","margin_kepala_kaki","120 | Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"152","teks_miring_watermark","https://www.bps.go.id"
"153","margin_kepala_kaki","Tentara Nasional Indonesia (TNI) dan Kepolisian Negara Republik Indonesia (Polri)  |  121"
"153","teks_miring_watermark","https://www.bps.go.id"
"154","margin_kepala_kaki","122 | Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"154","teks_miring_watermark","https://www.bps.go.id"
