"kode","terpindai_kolom_kode","terbaca_sebagai_judul","halaman_pdf","jumlah_kemunculan"
"0","True","True","103","1"
"1","True","True","161","1"
"2","True","True","263","1"
"3","True","True","511","1"
"4","True","True","717","1"
"5","True","True","759","1"
"6","True","True","825","1"
"7","True","True","871","1"
"8","True","True","969","1"
"9","True","True","1057","1"
"01","True","True","104","1"
"02","True","True","150","1"
"03","True","True","154","1"
"11","True","True","161","1"
"12","True","True","178","1"
"13","True","True","196","1"
"14","True","True","244","1"
"21","True","True","263","1"
"22","True","True","343","1"
"23","True","True","389","1"
"24","True","True","415","1"
"25","True","True","435","1"
"26","True","True","455","1"
"31","True","True","511","1"
"32","True","True","582","1"
"33","True","True","626","1"
"34","True","True","672","1"
"35","True","True","702","1"
"41","True","True","717","1"
"42","True","True","723","1"
"43","True","True","737","1"
"44","True","True","748","1"
"51","True","True","759","1"
"52","True","True","785","1"
"53","True","True","804","1"
"54","True","True","815","1"
"61","True","True","825","1"
"62","True","True","848","1"
"63","True","True","860","1"
"71","True","True","871","1"
"72","True","True","889","1"
"73","True","True","909","1"
"74","True","True","929","1"
"75","True","True","936","1"
"81","True","True","969","1"
"82","True","True","1025","1"
"83","True","True","1033","1"
"91","True","True","1057","1"
"92","True","True","1066","1"
"93","True","True","1075","1"
"94","True","True","1088","1"
"95","True","True","1093","1"
"96","True","True","1097","1"
"011","True","True","104","1"
"021","True","True","151","1"
"031","True","True","155","1"
"111","True","True","162","1"
"112","True","True","174","1"
"121","True","True","178","1"
"122","True","True","189","1"
"131","True","True","197","1"
"132","True","True","206","1"
"133","True","True","217","1"
"134","True","True","222","1"
"141","True","True","244","1"
"142","True","True","249","1"
"143","True","True","252","1"
"211","True","True","264","1"
"212","True","True","277","1"
"213","True","True","281","1"
"214","True","True","299","1"
"215","True","True","321","1"
"216","True","True","327","1"
"221","True","True","344","1"
"222","True","True","355","1"
"223","True","True","362","1"
"224","True","True","366","1"
"225","True","True","368","1"
"226","True","True","371","1"
"231","True","True","390","1"
"232","True","True","395","1"
"233","True","True","398","1"
"234","True","True","400","1"
"235","True","True","403","1"
"241","True","True","415","1"
"242","True","True","421","1"
"243","True","True","429","1"
"251","True","True","436","1"
"252","True","True","448","1"
"261","True","True","456","1"
"262","True","True","462","1"
"263","True","True","466","1"
"264","True","True","482","1"
"265","True","True","493","1"
"311","True","True","512","1"
"312","True","True","539","1"
"313","True","True","545","1"
"314","True","True","564","1"
"315","True","True","574","1"
"321","True","True","583","1"
"322","True","True","594","1"
"323","True","True","599","1"
"324","True","True","603","1"
"325","True","True","606","1"
"331","True","True","626","1"
"332","True","True","635","1"
"333","True","True","643","1"
"334","True","True","652","1"
"335","True","True","662","1"
"341","True","True","672","1"
"342","True","True","681","1"
"343","True","True","687","1"
"351","True","True","702","1"
"352","True","True","709","1"
"411","True","True","717","1"
"412","True","True","718","1"
"413","True","True","720","1"
"421","True","True","723","1"
"422","True","True","728","1"
"431","True","True","737","1"
"432","True","True","743","1"
"441","True","True","748","1"
"511","True","True","760","1"
"512","True","True","765","1"
"513","True","True","767","1"
"514","True","True","769","1"
"515","True","True","772","1"
"516","True","True","777","1"
"521","True","True","785","1"
"522","True","True","788","1"
"523","True","True","793","1"
"524","True","True","795","1"
"531","True","True","804","1"
"532","True","True","807","1"
"541","True","True","815","1"
"611","True","True","826","1"
"612","True","True","835","1"
"613","True","True","846","1"
"621","True","True","849","1"
"622","True","True","852","1"
"631","True","True","860","1"
"632","True","True","862","1"
"633","True","True","863","1"
"634","True","True","865","1"
"711","True","True","872","1"
"712","True","True","878","1"
"713","True","True","886","1"
"721","True","True","890","1"
"722","True","True","896","1"
"723","True","True","901","1"
"731","True","True","909","1"
"732","True","True","924","1"
"741","True","True","929","1"
"742","True","True","933","1"
"751","True","True","937","1"
"752","True","True","945","1"
"753","True","True","950","1"
"754","True","True","959","1"
"811","True","True","970","1"
"812","True","True","981","1"
"813","True","True","985","1"
"814","True","True","990","1"
"815","True","True","997","1"
