"kode_induk","jumlah_disebut_di_uraian","jumlah_judul","disebut_tanpa_judul","judul_tanpa_disebut"
"0","3","3","",""
"01","1","1","",""
"011","5","5","",""
"02","1","1","",""
"021","5","5","",""
"031","5","5","",""
"1","4","4","",""
"11","2","2","",""
"111","4","4","",""
"112","1","1","",""
"12","2","2","",""
"121","4","4","",""
"13","4","4","",""
"131","2","2","",""
"132","4","4","",""
"134","7","7","",""
"14","3","3","",""
"141","2","2","",""
"142","1","1","",""
"143","2","2","",""
"2","6","6","",""
"21","6","6","",""
"211","4","4","",""
"212","1","1","",""
"213","3","3","",""
"214","7","7","",""
"215","3","3","",""
"2153","4","4","",""
"216","6","6","",""
"22","6","6","",""
"221","2","2","",""
"222","2","2","",""
"223","1","1","",""
"224","1","1","",""
"226","8","8","",""
"23","5","5","",""
"231","1","1","",""
"232","1","1","",""
"233","1","1","",""
"234","2","2","",""
"235","7","7","",""
"24","3","3","",""
"241","3","3","",""
"242","4","4","",""
"243","4","4","",""
"25","2","2","",""
"251","6","6","",""
"252","4","4","",""
"26","5","5","",""
"261","3","3","",""
"262","2","2","",""
"263","6","6","",""
"2633","5","5","",""
"2634","2","6","","2634.03;2634.04;2634.05;2634.99"
"264","3","3","",""
"265","7","7","",""
"2654","7","15","","2654.08;2654.09;2654.10;2654.11;2654.12;2654.13;2654.14;2654.99"
"3","5","5","",""
"31","5","5","",""
"311","9","9","",""
"312","3","3","",""
"313","6","6","",""
"314","3","3","",""
"315","5","5","",""
"32","5","5","",""
"321","4","4","",""
"322","2","2","",""
"323","1","1","",""
"324","1","1","",""
"325","9","9","",""
"33","5","5","",""
"331","5","5","",""
"333","5","5","",""
"334","4","4","",""
"335","5","5","",""
"34","3","3","",""
"341","3","3","",""
"342","3","3","",""
"343","5","5","",""
"35","2","2","",""
"351","4","4","",""
"352","2","2","",""
"412","1","1","",""
"413","2","2","",""
"42","2","2","",""
"421","4","4","",""
"422","8","8","",""
"43","2","2","",""
"432","3","3","",""
"44","1","1","",""
"5","4","4","",""
"51","6","6","",""
"511","3","3","",""
"513","2","2","",""
"514","2","2","",""
"515","3","3","",""
"516","6","6","",""
"52","4","4","",""
"521","2","2","",""
"522","3","3","",""
"523","1","1","",""
"524","7","7","",""
"53","2","2","",""
"531","2","2","",""
"532","3","3","",""
"54","1","1","",""
"541","4","4","",""
"6","3","3","",""
"61","3","3","",""
"611","4","4","",""
"612","4","4","",""
"613","1","1","",""
"62","2","2","",""
"621","1","1","",""
"63","4","4","",""
"631","1","1","",""
"632","1","1","",""
"633","1","1","",""
"634","1","1","",""
"7","5","5","",""
"71","3","3","",""
"711","6","6","",""
"712","7","7","",""
"713","3","3","",""
"72","3","3","",""
"721","5","5","",""
"722","4","4","",""
"723","4","4","",""
"73","2","2","",""
"731","9","9","",""
"732","3","3","",""
"74","2","2","",""
"741","3","3","",""
"742","2","2","",""
"75","4","4","",""
"751","1","6","","7511;7512;7514;7515;7516"
"752","3","3","",""
"753","1","6","","7531;7533;7534;7535;7536"
"754","5","5","",""
"811","4","4","",""
"812","2","2","",""
"813","2","2","",""
"814","3","3","",""
"815","8","8","",""
"816","1","1","",""
"817","2","2","",""
"818","4","4","",""
"82","1","1","",""
"821","3","3","",""
"83","5","5","",""
"831","2","2","",""
"832","2","2","",""
"833","2","2","",""
"834","4","4","",""
"835","1","1","",""
"9","6","6","",""
"91","2","2","",""
"911","2","2","",""
"912","4","4","",""
"92","1","1","",""
"921","6","6","",""
"93","3","3","",""
"931","3","3","",""
"932","2","2","",""
"933","4","4","",""
"94","1","1","",""
"941","2","2","",""
"95","2","2","",""
"951","1","1","",""
"952","1","1","",""
"96","2","2","",""
"961","3","3","",""
"962","5","5","",""
