"kode","ada_daftar_isi","ada_uraian","nama_daftar_isi","nama_uraian","nama_cocok","halaman_cetak_daftar_isi","halaman_cetak_uraian","halaman_cocok"
"0","True","True","TENTARA NASIONAL INDONESIA (TNI) DAN KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI)","TENTARA NASIONAL INDONESIA (TNI) DAN KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI)","True","71","71","True"
"01","True","True","PERWIRA TNI DAN POLRI","PERWIRA TNI DAN POLRI","True","72","72","True"
"011","True","True","PERWIRA TNI DAN POLRI","PERWIRA TNI DAN POLRI","True","72","72","True"
"0111","True","True","PERWIRA MARKAS BESAR TNI","PERWIRA MARKAS BESAR TNI","True","73","73","True"
"0112","True","True","PERWIRA TNI ANGKATAN DARAT","PERWIRA TNI ANGKATAN DARAT","True","84","84","True"
"0113","True","True","PERWIRA TNI ANGKATAN LAUT","PERWIRA TNI ANGKATAN LAUT","True","93","93","True"
"0114","True","True","PERWIRA TNI ANGKATAN UDARA","PERWIRA TNI ANGKATAN UDARA","True","101","101","True"
"0115","True","True","PERWIRA POLRI","PERWIRA POLRI","True","111","111","True"
"02","True","True","BINTARA TNI DAN POLRI","BINTARA TNI DAN POLRI","True","118","118","True"
"021","True","True","BINTARA TNI DAN POLRI","BINTARA TNI DAN POLRI","True","119","119","True"
"0211","True","True","BINTARA MARKAS BESAR TNI","BINTARA MARKAS BESAR TNI","True","119","119","True"
"0212","True","True","BINTARA TNI ANGKATAN DARAT","BINTARA TNI ANGKATAN DARAT","True","120","120","True"
"0213","True","True","BINTARA TNI ANGKATAN LAUT","BINTARA TNI ANGKATAN LAUT","True","121","121","True"
"0214","True","True","BINTARA TNI ANGKATAN UDARA","BINTARA TNI ANGKATAN UDARA","True","121","121","True"
"0215","True","True","BINTARA POLRI","BINTARA POLRI","True","122","122","True"
"03","True","True","TAMTAMA TNI DAN POLRI","TAMTAMA TNI DAN POLRI","True","122","122","True"
"031","True","True","TAMTAMA TNI DAN POLRI","TAMTAMA TNI DAN POLRI","True","123","123","True"
"0311","True","True","TAMTAMA MARKAS BESAR TNI","TAMTAMA MARKAS BESAR TNI","True","123","123","True"
"0312","True","True","TAMTAMA TNI ANGKATAN DARAT","TAMTAMA TNI ANGKATAN DARAT","True","124","124","True"
"0313","True","True","TAMTAMA TNI ANGKATAN LAUT","TAMTAMA TNI ANGKATAN LAUT","True","124","124","True"
"0314","True","True","TAMTAMA TNI ANGKATAN UDARA","TAMTAMA TNI ANGKATAN UDARA","True","125","125","True"
"0315","True","True","TAMTAMA POLRI","TAMTAMA POLRI","True","126","126","True"
"1","True","True","MANAJER","MANAJER","True","129","129","True"
"11","True","True","PIMPINAN EKSEKUTIF, PEJABAT TINGGI PEMERINTAH, DAN PEJABAT PEMBUAT PERATURAN PERUNDANG-UNDANGAN","PIMPINAN EKSEKUTIF, PEJABAT TINGGI PEMERINTAH, DAN PEJABAT PEMBUAT PERATURAN PERUNDANG-UNDANGAN","True","129","129","True"
"111","True","True","PEJABAT PEMBUAT PERATURAN PERUNDANG-UNDANGAN DAN PEJABAT TINGGI PEMERINTAH","PEJABAT PEMBUAT PERATURAN PERUNDANG-UNDANGAN DAN PEJABAT TINGGI PEMERINTAH","True","130","130","True"
"1111","True","True","PEJABAT PEMBUAT PERATURAN PERUNDANG-UNDANGAN","PEJABAT PEMBUAT PERATURAN PERUNDANG-UNDANGAN","True","131","131","True"
"1112","True","True","PEJABAT TINGGI PEMERINTAH","PEJABAT TINGGI PEMERINTAH","True","135","135","True"
"1113","True","True","KETUA ADAT DAN KEPALA WILAYAH","KETUA ADAT DAN KEPALA WILAYAH","True","139","139","True"
"1114","True","True","PIMPINAN ORGANISASI BIDANG KHUSUS","PIMPINAN ORGANISASI BIDANG KHUSUS","True","141","141","True"
"112","True","True","PIMPINAN EKSEKUTIF DAN DIREKTUR PELAKSANA","PIMPINAN EKSEKUTIF DAN DIREKTUR PELAKSANA","True","142","142","True"
"1120","True","True","PIMPINAN EKSEKUTIF DAN DIREKTUR PELAKSANA","PIMPINAN EKSEKUTIF DAN DIREKTUR PELAKSANA","True","142","142","True"
"12","True","True","MANAJER ADMINISTRASI DAN KOMERSIAL","MANAJER ADMINISTRASI DAN KOMERSIAL","True","146","146","True"
"121","True","True","MANAJER PELAYANAN BISNIS DAN ADMINISTRASI BISNIS","MANAJER PELAYANAN BISNIS DAN ADMINISTRASI BISNIS","True","146","146","True"
"1211","True","True","MANAJER KEUANGAN","MANAJER KEUANGAN","True","147","147","True"
"1212","True","True","MANAJER SUMBER DAYA MANUSIA","MANAJER SUMBER DAYA MANUSIA","True","149","149","True"
"1213","True","True","MANAJER PERENCANAAN DAN KEBIJAKAN","MANAJER PERENCANAAN DAN KEBIJAKAN","True","151","151","True"
"1219","True","True","MANAJER PELAYANAN BISNIS DAN ADMINISTRASI BISNIS YTDL","MANAJER PELAYANAN BISNIS DAN ADMINISTRASI BISNIS YTDL","True","154","154","True"
"122","True","True","MANAJER PENJUALAN, PEMASARAN, DAN PENGEMBANGAN USAHA","MANAJER PENJUALAN, PEMASARAN, DAN PENGEMBANGAN USAHA","True","157","157","True"
"1221","True","True","MANAJER PENJUALAN DAN PEMASARAN","MANAJER PENJUALAN DAN PEMASARAN","True","157","157","True"
"1222","True","True","MANAJER PERIKLANAN DAN HUBUNGAN MASYARAKAT","MANAJER PERIKLANAN DAN HUBUNGAN MASYARAKAT","True","159","159","True"
"1223","True","True","MANAJER PENELITIAN DAN PENGEMBANGAN","MANAJER PENELITIAN DAN PENGEMBANGAN","True","161","161","True"
"13","True","True","MANAJER PRODUKSI DAN PELAYANAN KHUSUS","MANAJER PRODUKSI DAN PELAYANAN KHUSUS","True","164","164","True"
"131","True","True","MANAJER PRODUKSI PERTANIAN, KEHUTANAN, DAN PERIKANAN","MANAJER PRODUKSI PERTANIAN, KEHUTANAN, DAN PERIKANAN","True","165","165","True"
"1311","True","True","MANAJER PRODUKSI PERTANIAN DAN KEHUTANAN","MANAJER PRODUKSI PERTANIAN DAN KEHUTANAN","True","165","165","True"
"1312","True","True","MANAJER PRODUKSI PENANGKAPAN DAN BUDIDAYA IKAN","MANAJER PRODUKSI PENANGKAPAN DAN BUDIDAYA IKAN","True","172","172","True"
"132","True","True","MANAJER MANUFAKTUR, PERTAMBANGAN, KONSTRUKSI, DAN DISTRIBUSI","MANAJER MANUFAKTUR, PERTAMBANGAN, KONSTRUKSI, DAN DISTRIBUSI","True","174","174","True"
