"kode","kode_normalisasi","jumlah_digit","tingkat","kode_induk","nama_resmi","kode_golongan_pokok","nama_golongan_pokok","jalur_kode","kelompok_sisa","halaman_cetak_mulai"
"0","0","1","Golongan pokok","","TENTARA NASIONAL INDONESIA (TNI) DAN KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI)","0","TENTARA NASIONAL INDONESIA (TNI) DAN KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI)","0","tidak","71"
"01","01","2","Subgolongan pokok","0","PERWIRA TNI DAN POLRI","0","TENTARA NASIONAL INDONESIA (TNI) DAN KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI)","0 > 01","tidak","72"
"011","011","3","Golongan","01","PERWIRA TNI DAN POLRI","0","TENTARA NASIONAL INDONESIA (TNI) DAN KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI)","0 > 01 > 011","tidak","72"
"0111","0111","4","Subgolongan","011","PERWIRA MARKAS BESAR TNI","0","TENTARA NASIONAL INDONESIA (TNI) DAN KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI)","0 > 01 > 011 > 0111","tidak","73"
"0111.01","011101","6","Jabatan","0111","PANGLIMA TNI","0","TENTARA NASIONAL INDONESIA (TNI) DAN KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI)","0 > 01 > 011 > 0111 > 0111.01","tidak","73"
"0111.02","011102","6","Jabatan","0111","KEPALA STAF UMUM TNI (KASUM TNI)","0","TENTARA NASIONAL INDONESIA (TNI) DAN KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI)","0 > 01 > 011 > 0111 > 0111.02","tidak","74"
"0111.03","011103","6","Jabatan","0111","INSPEKTUR JENDERAL TNI (IRJEN TNI)","0","TENTARA NASIONAL INDONESIA (TNI) DAN KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI)","0 > 01 > 011 > 0111 > 0111.03","tidak","74"
"0111.04","011104","6","Jabatan","0111","STAF AHLI PANGLIMA TNI (SAHLI PANGLIMA TNI)","0","TENTARA NASIONAL INDONESIA (TNI) DAN KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI)","0 > 01 > 011 > 0111 > 0111.04","tidak","74"
"0111.05","011105","6","Jabatan","0111","ASISTEN KEBIJAKAN STRATEGIS DAN PERENCANAAN UMUM PANGLIMA TNI (ASRENUM PANGLIMA TNI)","0","TENTARA NASIONAL INDONESIA (TNI) DAN KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI)","0 > 01 > 011 > 0111 > 0111.05","tidak","74"
"0111.06","011106","6","Jabatan","0111","ASISTEN INTELIJEN PANGLIMA TNI (ASINTEL PANGLIMA TNI)","0","TENTARA NASIONAL INDONESIA (TNI) DAN KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI)","0 > 01 > 011 > 0111 > 0111.06","tidak","75"
"0111.07","011107","6","Jabatan","0111","ASISTEN OPERASI PANGLIMA TNI (ASOPS PANGLIMA TNI)","0","TENTARA NASIONAL INDONESIA (TNI) DAN KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI)","0 > 01 > 011 > 0111 > 0111.07","tidak","75"
"0111.08","011108","6","Jabatan","0111","ASISTEN PERSONALIA PANGLIMA TNI (ASPERS PANGLIMA TNI)","0","TENTARA NASIONAL INDONESIA (TNI) DAN KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI)","0 > 01 > 011 > 0111 > 0111.08","tidak","75"
"0111.09","011109","6","Jabatan","0111","ASISTEN LOGISTIK PANGLIMA TNI (ASLOG PANGLIMA TNI)","0","TENTARA NASIONAL INDONESIA (TNI) DAN KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI)","0 > 01 > 011 > 0111 > 0111.09","tidak","75"
"0111.10","011110","6","Jabatan","0111","ASISTEN TERITORIAL PANGLIMA TNI (ASTER PANGLIMA TNI)","0","TENTARA NASIONAL INDONESIA (TNI) DAN KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI)","0 > 01 > 011 > 0111 > 0111.10","tidak","76"
"0111.11","011111","6","Jabatan","0111","ASISTEN KOMUNIKASI DAN ELEKTRONIKA PANGLIMA TNI (ASKOMLEK PANGLIMA TNI)","0","TENTARA NASIONAL INDONESIA (TNI) DAN KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI)","0 > 01 > 011 > 0111 > 0111.11","tidak","76"
"0111.12","011112","6","Jabatan","0111","PERWIRA STAF KHUSUS POLISI MILITER (PASSUSPOM TNI)","0","TENTARA NASIONAL INDONESIA (TNI) DAN KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI)","0 > 01 > 011 > 0111 > 0111.12","tidak","76"
"0111.13","011113","6","Jabatan","0111","KOMANDAN SATUAN KOMUNIKASI DAN ELEKTRONIKA TNI (DANSATKOMLEK TNI)","0","TENTARA NASIONAL INDONESIA (TNI) DAN KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI)","0 > 01 > 011 > 0111 > 0111.13","tidak","76"
"0111.14","011114","6","Jabatan","0111","KEPALA PUSAT PENGENDALIAN OPERASI TNI (KAPUSDALOPS TNI)","0","TENTARA NASIONAL INDONESIA (TNI) DAN KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI)","0 > 01 > 011 > 0111 > 0111.14","tidak","77"
"0111.15","011115","6","Jabatan","0111","KEPALA SEKRETARIAT UMUM TNI (KASETUM TNI)","0","TENTARA NASIONAL INDONESIA (TNI) DAN KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI)","0 > 01 > 011 > 0111 > 0111.15","tidak","77"
"0111.16","011116","6","Jabatan","0111","KOMANDAN SEKOLAH STAF DAN KOMANDO TNI (DANSESKO TNI)","0","TENTARA NASIONAL INDONESIA (TNI) DAN KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI)","0 > 01 > 011 > 0111 > 0111.16","tidak","77"
"0111.17","011117","6","Jabatan","0111","KOMANDAN KOMANDO PENDIDIKAN DAN LATIHAN TNI (DANKODIKLAT TNI)","0","TENTARA NASIONAL INDONESIA (TNI) DAN KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI)","0 > 01 > 011 > 0111 > 0111.17","tidak","77"
"0111.18","011118","6","Jabatan","0111","KOMANDAN JENDERAL AKADEMI TNI (DANJEN AKADEMI TNI)","0","TENTARA NASIONAL INDONESIA (TNI) DAN KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI)","0 > 01 > 011 > 0111 > 0111.18","tidak","78"
"0111.19","011119","6","Jabatan","0111","KEPALA BADAN INTELIJEN STRATEGIS TNI (KABAIS TNI)","0","TENTARA NASIONAL INDONESIA (TNI) DAN KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI)","0 > 01 > 011 > 0111 > 0111.19","tidak","78"
"0111.20","011120","6","Jabatan","0111","KOMANDAN PASUKAN PENGAMANAN PRESIDEN (DANPASPAMPRES)","0","TENTARA NASIONAL INDONESIA (TNI) DAN KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI)","0 > 01 > 011 > 0111 > 0111.20","tidak","78"
"0111.21","011121","6","Jabatan","0111","KEPALA BADAN PEMBINAAN HUKUM DAN HAK ASASI MANUSIA TNI (KABABINKUM HAM TNI)","0","TENTARA NASIONAL INDONESIA (TNI) DAN KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI)","0 > 01 > 011 > 0111 > 0111.21","tidak","78"
"0111.22","011122","6","Jabatan","0111","KEPALA PUSAT PENERANGAN TNI (KAPUSPEN TNI)","0","TENTARA NASIONAL INDONESIA (TNI) DAN KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI)","0 > 01 > 011 > 0111 > 0111.22","tidak","79"
"0111.23","011123","6","Jabatan","0111","KEPALA PUSAT KESEHATAN TNI (KAPUSKES TNI)","0","TENTARA NASIONAL INDONESIA (TNI) DAN KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI)","0 > 01 > 011 > 0111 > 0111.23","tidak","79"
"0111.24","011124","6","Jabatan","0111","KEPALA BADAN LOGISTIK TNI (KABALOG TNI)","0","TENTARA NASIONAL INDONESIA (TNI) DAN KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI)","0 > 01 > 011 > 0111 > 0111.24","tidak","79"
"0111.25","011125","6","Jabatan","0111","KEPALA PUSAT PEMBINAAN MENTAL TNI (KAPUSBINTAL TNI)","0","TENTARA NASIONAL INDONESIA (TNI) DAN KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI)","0 > 01 > 011 > 0111 > 0111.25","tidak","79"
"0111.26","011126","6","Jabatan","0111","KEPALA PUSAT KEUANGAN TNI (KAPUSKU TNI)","0","TENTARA NASIONAL INDONESIA (TNI) DAN KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI)","0 > 01 > 011 > 0111 > 0111.26","tidak","79"
"0111.27","011127","6","Jabatan","0111","KEPALA PUSAT SEJARAH TNI (KAPUSJARAH TNI)","0","TENTARA NASIONAL INDONESIA (TNI) DAN KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI)","0 > 01 > 011 > 0111 > 0111.27","tidak","80"
"0111.28","011128","6","Jabatan","0111","KEPALA PUSAT INFORMASI DAN PENGOLAHAN DATA TNI (KAPUSINFOLAHTA TNI)","0","TENTARA NASIONAL INDONESIA (TNI) DAN KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI)","0 > 01 > 011 > 0111 > 0111.28","tidak","80"
"0111.29","011129","6","Jabatan","0111","KEPALA PUSAT MISI PEMELIHARAAN PERDAMAIAN (KA PMPP TNI)","0","TENTARA NASIONAL INDONESIA (TNI) DAN KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI)","0 > 01 > 011 > 0111 > 0111.29","tidak","80"
"0111.30","011130","6","Jabatan","0111","KEPALA PUSAT PENGKAJIAN STRATEGI TNI (KAPUSJIANSTRA TNI)","0","TENTARA NASIONAL INDONESIA (TNI) DAN KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI)","0 > 01 > 011 > 0111 > 0111.30","tidak","80"
"0111.31","011131","6","Jabatan","0111","KEPALA PUSAT PENGEMBANGAN KEPEMIMPINAN TNI (KAPUSBANGPIM TNI)","0","TENTARA NASIONAL INDONESIA (TNI) DAN KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI)","0 > 01 > 011 > 0111 > 0111.31","tidak","81"
