"kode","nama_daftar_isi","halaman_cetak","halaman_pdf_daftar_isi"
"0","TENTARA NASIONAL INDONESIA (TNI) DAN KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI)","71","11"
"01","PERWIRA TNI DAN POLRI","72","11"
"011","PERWIRA TNI DAN POLRI","72","11"
"0111","PERWIRA MARKAS BESAR TNI","73","11"
"0112","PERWIRA TNI ANGKATAN DARAT","84","11"
"0113","PERWIRA TNI ANGKATAN LAUT","93","11"
"0114","PERWIRA TNI ANGKATAN UDARA","101","11"
"0115","PERWIRA POLRI","111","11"
"02","BINTARA TNI DAN POLRI","118","11"
"021","BINTARA TNI DAN POLRI","119","11"
"0211","BINTARA MARKAS BESAR TNI","119","11"
"0212","BINTARA TNI ANGKATAN DARAT","120","11"
"0213","BINTARA TNI ANGKATAN LAUT","121","11"
"0214","BINTARA TNI ANGKATAN UDARA","121","11"
"0215","BINTARA POLRI","122","11"
"03","TAMTAMA TNI DAN POLRI","122","11"
"031","TAMTAMA TNI DAN POLRI","123","12"
"0311","TAMTAMA MARKAS BESAR TNI","123","12"
"0312","TAMTAMA TNI ANGKATAN DARAT","124","12"
"0313","TAMTAMA TNI ANGKATAN LAUT","124","12"
"0314","TAMTAMA TNI ANGKATAN UDARA","125","12"
"0315","TAMTAMA POLRI","126","12"
"1","MANAJER","129","12"
"11","PIMPINAN EKSEKUTIF, PEJABAT TINGGI PEMERINTAH, DAN PEJABAT PEMBUAT PERATURAN PERUNDANG-UNDANGAN","129","12"
"111","PEJABAT PEMBUAT PERATURAN PERUNDANG-UNDANGAN DAN PEJABAT TINGGI PEMERINTAH","130","12"
"1111","PEJABAT PEMBUAT PERATURAN PERUNDANG-UNDANGAN","131","12"
"1112","PEJABAT TINGGI PEMERINTAH","135","12"
"1113","KETUA ADAT DAN KEPALA WILAYAH","139","12"
"1114","PIMPINAN ORGANISASI BIDANG KHUSUS","141","12"
"112","PIMPINAN EKSEKUTIF DAN DIREKTUR PELAKSANA","142","12"
"1120","PIMPINAN EKSEKUTIF DAN DIREKTUR PELAKSANA","142","12"
"12","MANAJER ADMINISTRASI DAN KOMERSIAL","146","12"
"121","MANAJER PELAYANAN BISNIS DAN ADMINISTRASI BISNIS","146","12"
"1211","MANAJER KEUANGAN","147","12"
"1212","MANAJER SUMBER DAYA MANUSIA","149","12"
"1213","MANAJER PERENCANAAN DAN KEBIJAKAN","151","12"
"1219","MANAJER PELAYANAN BISNIS DAN ADMINISTRASI BISNIS YTDL","154","12"
"122","MANAJER PENJUALAN, PEMASARAN, DAN PENGEMBANGAN USAHA","157","12"
"1221","MANAJER PENJUALAN DAN PEMASARAN","157","12"
"1222","MANAJER PERIKLANAN DAN HUBUNGAN MASYARAKAT","159","12"
"1223","MANAJER PENELITIAN DAN PENGEMBANGAN","161","12"
"13","MANAJER PRODUKSI DAN PELAYANAN KHUSUS","164","12"
"131","MANAJER PRODUKSI PERTANIAN, KEHUTANAN, DAN PERIKANAN","165","12"
"1311","MANAJER PRODUKSI PERTANIAN DAN KEHUTANAN","165","12"
"1312","MANAJER PRODUKSI PENANGKAPAN DAN BUDIDAYA IKAN","172","12"
"132","MANAJER MANUFAKTUR, PERTAMBANGAN, KONSTRUKSI, DAN DISTRIBUSI","174","12"
"1321","MANAJER MANUFAKTUR","174","12"
"1322","MANAJER PERTAMBANGAN DAN PENGGALIAN","177","12"
"1323","MANAJER KONSTRUKSI","179","12"
"1324","MANAJER PENGADAAN, DISTRIBUSI, DAN YBDI","180","12"
"133","MANAJER LAYANAN TEKNOLOGI INFORMASI DAN KOMUNIKASI","185","12"
"1330","MANAJER LAYANAN TEKNOLOGI INFORMASI DAN KOMUNIKASI","185","12"
"134","MANAJER JASA PROFESIONAL","190","12"
"1341","MANAJER JASA PENITIPAN ANAK","190","12"
