"cakupan","jumlah_digit","tingkat","acuan_publikasi","rujukan"
"seluruh KBJI 2026","1","Golongan pokok","10","Tabel 3, halaman cetak 13 / halaman PDF 45"
"seluruh KBJI 2026","2","Subgolongan pokok","43","Tabel 3, halaman cetak 13 / halaman PDF 45"
"seluruh KBJI 2026","3","Golongan","130","Tabel 3, halaman cetak 13 / halaman PDF 45"
"seluruh KBJI 2026","4","Subgolongan","449","Tabel 3, halaman cetak 13 / halaman PDF 45"
"seluruh KBJI 2026","6","Jabatan","2380","Tabel 3, halaman cetak 13 / halaman PDF 45"
"golongan pokok 0","1","Golongan pokok","1","Tabel 25-34 Jumlah Kode berdasarkan Struktur KBJI Golongan Pokok 0, halaman cetak 61-65 / halaman PDF 93-97"
"golongan pokok 0","2","Subgolongan pokok","3","Tabel 25-34 Jumlah Kode berdasarkan Struktur KBJI Golongan Pokok 0, halaman cetak 61-65 / halaman PDF 93-97"
"golongan pokok 0","3","Golongan","3","Tabel 25-34 Jumlah Kode berdasarkan Struktur KBJI Golongan Pokok 0, halaman cetak 61-65 / halaman PDF 93-97"
"golongan pokok 0","4","Subgolongan","15","Tabel 25-34 Jumlah Kode berdasarkan Struktur KBJI Golongan Pokok 0, halaman cetak 61-65 / halaman PDF 93-97"
"golongan pokok 0","6","Jabatan","201","Tabel 25-34 Jumlah Kode berdasarkan Struktur KBJI Golongan Pokok 0, halaman cetak 61-65 / halaman PDF 93-97"
"golongan pokok 1","1","Golongan pokok","1","Tabel 25-34 Jumlah Kode berdasarkan Struktur KBJI Golongan Pokok 1, halaman cetak 61-65 / halaman PDF 93-97"
"golongan pokok 1","2","Subgolongan pokok","4","Tabel 25-34 Jumlah Kode berdasarkan Struktur KBJI Golongan Pokok 1, halaman cetak 61-65 / halaman PDF 93-97"
"golongan pokok 1","3","Golongan","11","Tabel 25-34 Jumlah Kode berdasarkan Struktur KBJI Golongan Pokok 1, halaman cetak 61-65 / halaman PDF 93-97"
"golongan pokok 1","4","Subgolongan","31","Tabel 25-34 Jumlah Kode berdasarkan Struktur KBJI Golongan Pokok 1, halaman cetak 61-65 / halaman PDF 93-97"
"golongan pokok 1","6","Jabatan","210","Tabel 25-34 Jumlah Kode berdasarkan Struktur KBJI Golongan Pokok 1, halaman cetak 61-65 / halaman PDF 93-97"
"golongan pokok 2","1","Golongan pokok","1","Tabel 25-34 Jumlah Kode berdasarkan Struktur KBJI Golongan Pokok 2, halaman cetak 61-65 / halaman PDF 93-97"
"golongan pokok 2","2","Subgolongan pokok","6","Tabel 25-34 Jumlah Kode berdasarkan Struktur KBJI Golongan Pokok 2, halaman cetak 61-65 / halaman PDF 93-97"
"golongan pokok 2","3","Golongan","27","Tabel 25-34 Jumlah Kode berdasarkan Struktur KBJI Golongan Pokok 2, halaman cetak 61-65 / halaman PDF 93-97"
"golongan pokok 2","4","Subgolongan","94","Tabel 25-34 Jumlah Kode berdasarkan Struktur KBJI Golongan Pokok 2, halaman cetak 61-65 / halaman PDF 93-97"
"golongan pokok 2","6","Jabatan","593","Tabel 25-34 Jumlah Kode berdasarkan Struktur KBJI Golongan Pokok 2, halaman cetak 61-65 / halaman PDF 93-97"
"golongan pokok 3","1","Golongan pokok","1","Tabel 25-34 Jumlah Kode berdasarkan Struktur KBJI Golongan Pokok 3, halaman cetak 61-65 / halaman PDF 93-97"
"golongan pokok 3","2","Subgolongan pokok","5","Tabel 25-34 Jumlah Kode berdasarkan Struktur KBJI Golongan Pokok 3, halaman cetak 61-65 / halaman PDF 93-97"
