"golongan_pokok","nama","tingkat_keterampilan","catatan_sumber"
"0","Tentara Nasional Indonesia (TNI) dan Kepolisian Negara Republik Indonesia (Polri)","1 + 2 + 4",""
"1","Manajer","3 + 4",""
"2","Profesional","4",""
"3","Teknisi dan Asisten Profesional","3",""
"4","Tenaga Tata Usaha","2",""
"5","Tenaga Usaha Jasa dan Tenaga Penjualan","","Sel kolom tingkat keterampilan kosong pada Tabel 1 sumber; tidak diisi agar tidak menambah data yang tidak tercetak."
"6","Pekerja Terampil Pertanian, Kehutanan, dan Perikanan","","Sel kolom tingkat keterampilan kosong pada Tabel 1 sumber; tidak diisi agar tidak menambah data yang tidak tercetak."
"7","Pekerja Pengolahan, Kerajinan, dan YBDI","","Sel kolom tingkat keterampilan kosong pada Tabel 1 sumber; tidak diisi agar tidak menambah data yang tidak tercetak."
"8","Operator dan Perakit Mesin","","Sel kolom tingkat keterampilan kosong pada Tabel 1 sumber; tidak diisi agar tidak menambah data yang tidak tercetak."
"9","Pekerja Kasar","1",""
