"kategori","kelas","keparahan","id_entri","kode","halaman_pdf","detail"
"cakupan","sumber","informasi","","","159","Halaman tanpa teks isi (pembatas_bab_terdeteksi_gambar_halaman_penuh)."
"cakupan","sumber","informasi","","","160","Halaman tanpa teks isi (halaman_kosong_terdeteksi_tanpa_teks_dan_gambar)."
"cakupan","sumber","informasi","","","260","Halaman tanpa teks isi (halaman_kosong_terdeteksi_tanpa_teks_dan_gambar)."
"cakupan","sumber","informasi","","","261","Halaman tanpa teks isi (pembatas_bab_terdeteksi_gambar_halaman_penuh)."
"cakupan","sumber","informasi","","","262","Halaman tanpa teks isi (halaman_kosong_terdeteksi_tanpa_teks_dan_gambar)."
"cakupan","sumber","informasi","","","509","Halaman tanpa teks isi (pembatas_bab_terdeteksi_gambar_halaman_penuh)."
"cakupan","sumber","informasi","","","510","Halaman tanpa teks isi (halaman_kosong_terdeteksi_tanpa_teks_dan_gambar)."
"cakupan","sumber","informasi","","","714","Halaman tanpa teks isi (halaman_kosong_terdeteksi_tanpa_teks_dan_gambar)."
"cakupan","sumber","informasi","","","715","Halaman tanpa teks isi (pembatas_bab_terdeteksi_gambar_halaman_penuh)."
"cakupan","sumber","informasi","","","716","Halaman tanpa teks isi (halaman_kosong_terdeteksi_tanpa_teks_dan_gambar)."
"cakupan","sumber","informasi","","","757","Halaman tanpa teks isi (pembatas_bab_terdeteksi_gambar_halaman_penuh)."
"cakupan","sumber","informasi","","","758","Halaman tanpa teks isi (halaman_kosong_terdeteksi_tanpa_teks_dan_gambar)."
"cakupan","sumber","informasi","","","823","Halaman tanpa teks isi (pembatas_bab_terdeteksi_gambar_halaman_penuh)."
"cakupan","sumber","informasi","","","824","Halaman tanpa teks isi (halaman_kosong_terdeteksi_tanpa_teks_dan_gambar)."
"cakupan","sumber","informasi","","","868","Halaman tanpa teks isi (halaman_kosong_terdeteksi_tanpa_teks_dan_gambar)."
"cakupan","sumber","informasi","","","869","Halaman tanpa teks isi (pembatas_bab_terdeteksi_gambar_halaman_penuh)."
"cakupan","sumber","informasi","","","870","Halaman tanpa teks isi (halaman_kosong_terdeteksi_tanpa_teks_dan_gambar)."
"cakupan","sumber","informasi","","","966","Halaman tanpa teks isi (halaman_kosong_terdeteksi_tanpa_teks_dan_gambar)."
"cakupan","sumber","informasi","","","967","Halaman tanpa teks isi (pembatas_bab_terdeteksi_gambar_halaman_penuh)."
"cakupan","sumber","informasi","","","968","Halaman tanpa teks isi (halaman_kosong_terdeteksi_tanpa_teks_dan_gambar)."
"cakupan","sumber","informasi","","","1054","Halaman tanpa teks isi (halaman_kosong_terdeteksi_tanpa_teks_dan_gambar)."
"cakupan","sumber","informasi","","","1055","Halaman tanpa teks isi (pembatas_bab_terdeteksi_gambar_halaman_penuh)."
"cakupan","sumber","informasi","","","1056","Halaman tanpa teks isi (halaman_kosong_terdeteksi_tanpa_teks_dan_gambar)."
