"golongan_pokok","jumlah_digit","tingkat","acuan_publikasi","hasil_ekstraksi","selisih"
"0","1","Golongan pokok","1","1","0"
"0","2","Subgolongan pokok","3","3","0"
"0","3","Golongan","3","3","0"
"0","4","Subgolongan","15","15","0"
"0","6","Jabatan","201","201","0"
"1","1","Golongan pokok","1","1","0"
"1","2","Subgolongan pokok","4","4","0"
"1","3","Golongan","11","11","0"
"1","4","Subgolongan","31","31","0"
"1","6","Jabatan","210","210","0"
"2","1","Golongan pokok","1","1","0"
"2","2","Subgolongan pokok","6","6","0"
"2","3","Golongan","27","27","0"
"2","4","Subgolongan","94","93","-1"
"2","6","Jabatan","593","593","0"
"3","1","Golongan pokok","1","1","0"
"3","2","Subgolongan pokok","5","5","0"
"3","3","Golongan","20","20","0"
"3","4","Subgolongan","83","83","0"
"3","6","Jabatan","410","410","0"
"4","1","Golongan pokok","1","1","0"
"4","2","Subgolongan pokok","4","4","0"
"4","3","Golongan","8","8","0"
"4","4","Subgolongan","29","29","0"
"4","6","Jabatan","89","89","0"
"5","1","Golongan pokok","1","1","0"
"5","2","Subgolongan pokok","4","4","0"
"5","3","Golongan","13","13","0"
"5","4","Subgolongan","39","39","0"
"5","6","Jabatan","142","142","0"
"6","1","Golongan pokok","1","1","0"
"6","2","Subgolongan pokok","3","3","0"
"6","3","Golongan","9","9","0"
"6","4","Subgolongan","19","18","-1"
"6","6","Jabatan","84","84","0"
"7","1","Golongan pokok","1","1","0"
"7","2","Subgolongan pokok","5","5","0"
"7","3","Golongan","14","14","0"
"7","4","Subgolongan","66","66","0"
"7","6","Jabatan","317","317","0"
"8","1","Golongan pokok","1","1","0"
"8","2","Subgolongan pokok","3","3","0"
"8","3","Golongan","14","14","0"
"8","4","Subgolongan","40","40","0"
"8","6","Jabatan","216","216","0"
"9","1","Golongan pokok","1","1","0"
"9","2","Subgolongan pokok","6","6","0"
"9","3","Golongan","11","11","0"
"9","4","Subgolongan","33","33","0"
"9","6","Jabatan","118","118","0"
