"kategori","kelas","keparahan","id_entri","kode","halaman_pdf","detail"
"penanda_sisa","sumber","informasi","E00435","14","244","Kode 14 bertanda kelompok sisa=tidak menurut aturan penomoran, tetapi penamaan sumber berbunyi 'MANAJER JASA PERHOTELAN, PERDAGANGAN, DAN JASA LAINNYA'. Gunakan kolom kelompok_sisa sebagai penanda kode, bukan sebagai tafsir judul."
"penanda_sisa","sumber","informasi","E00458","143","252","Kode 143 bertanda kelompok sisa=tidak menurut aturan penomoran, tetapi penamaan sumber berbunyi 'MANAJER JASA LAINNYA'. Gunakan kolom kelompok_sisa sebagai penanda kode, bukan sebagai tafsir judul."
"penanda_sisa","sumber","informasi","E00782","226","371","Kode 226 bertanda kelompok sisa=tidak menurut aturan penomoran, tetapi penamaan sumber berbunyi 'PROFESIONAL KESEHATAN LAINNYA'. Gunakan kolom kelompok_sisa sebagai penanda kode, bukan sebagai tafsir judul."
"penanda_sisa","sumber","informasi","E00882","235","403","Kode 235 bertanda kelompok sisa=tidak menurut aturan penomoran, tetapi penamaan sumber berbunyi 'PROFESIONAL BIDANG PENDIDIKAN LAINNYA'. Gunakan kolom kelompok_sisa sebagai penanda kode, bukan sebagai tafsir judul."
"penanda_sisa","sumber","informasi","E01129","2643","491","Kode 2643 bertanda kelompok sisa=tidak menurut aturan penomoran, tetapi penamaan sumber berbunyi 'PENERJEMAH, ALIH BAHASA, DAN PROFESIONAL BAHASA LAINNYA'. Gunakan kolom kelompok_sisa sebagai penanda kode, bukan sebagai tafsir judul."
"penanda_sisa","sumber","informasi","E01185","2656","504","Kode 2656 bertanda kelompok sisa=tidak menurut aturan penomoran, tetapi penamaan sumber berbunyi 'PENYIAR RADIO, TELEVISI, DAN MEDIA LAINNYA'. Gunakan kolom kelompok_sisa sebagai penanda kode, bukan sebagai tafsir judul."
"penanda_sisa","sumber","informasi","E01422","325","606","Kode 325 bertanda kelompok sisa=tidak menurut aturan penomoran, tetapi penamaan sumber berbunyi 'ASISTEN PROFESIONAL KESEHATAN LAINNYA'. Gunakan kolom kelompok_sisa sebagai penanda kode, bukan sebagai tafsir judul."
"penanda_sisa","sumber","informasi","E01671","3435","695","Kode 3435 bertanda kelompok sisa=tidak menurut aturan penomoran, tetapi penamaan sumber berbunyi 'ASISTEN PROFESIONAL KESENIAN DAN BUDAYA LAINNYA'. Gunakan kolom kelompok_sisa sebagai penanda kode, bukan sebagai tafsir judul."
"penanda_sisa","sumber","informasi","E01757","4219.00","727","Kode 4219.00 bertanda kelompok sisa=tidak menurut aturan penomoran, tetapi penamaan sumber berbunyi 'TELLER, KOLEKTOR UANG, DAN YBDI LAINNYA'. Gunakan kolom kelompok_sisa sebagai penanda kode, bukan sebagai tafsir judul."
"penanda_sisa","sumber","informasi","E01786","4229.00","736","Kode 4229.00 bertanda kelompok sisa=tidak menurut aturan penomoran, tetapi penamaan sumber berbunyi 'TENAGA TATA USAHA INFORMASI PELANGGAN YTDL'. Gunakan kolom kelompok_sisa sebagai penanda kode, bukan sebagai tafsir judul."
"penanda_sisa","sumber","informasi","E01820","44","748","Kode 44 bertanda kelompok sisa=tidak menurut aturan penomoran, tetapi penamaan sumber berbunyi 'TENAGA TATA USAHA LAINNYA'. Gunakan kolom kelompok_sisa sebagai penanda kode, bukan sebagai tafsir judul."
"penanda_sisa","sumber","informasi","E01821","441","748","Kode 441 bertanda kelompok sisa=tidak menurut aturan penomoran, tetapi penamaan sumber berbunyi 'TENAGA TATA USAHA LAINNYA'. Gunakan kolom kelompok_sisa sebagai penanda kode, bukan sebagai tafsir judul."
"penanda_sisa","sumber","informasi","E01893","5151","772","Kode 5151 bertanda kelompok sisa=tidak menurut aturan penomoran, tetapi penamaan sumber berbunyi 'PENGAWAS KEBERSIHAN DAN KERUMAHTANGGAAN DI KANTOR, HOTEL, DAN BANGUNAN LAINNYA'. Gunakan kolom kelompok_sisa sebagai penanda kode, bukan sebagai tafsir judul."
"penanda_sisa","sumber","informasi","E01907","516","777","Kode 516 bertanda kelompok sisa=tidak menurut aturan penomoran, tetapi penamaan sumber berbunyi 'TENAGA USAHA JASA PERORANGAN LAINNYA'. Gunakan kolom kelompok_sisa sebagai penanda kode, bukan sebagai tafsir judul."
"penanda_sisa","sumber","informasi","E01967","524","795","Kode 524 bertanda kelompok sisa=tidak menurut aturan penomoran, tetapi penamaan sumber berbunyi 'PEKERJA PENJUALAN LAINNYA'. Gunakan kolom kelompok_sisa sebagai penanda kode, bukan sebagai tafsir judul."
"penanda_sisa","sumber","informasi","E01968","5241","796","Kode 5241 bertanda kelompok sisa=tidak menurut aturan penomoran, tetapi penamaan sumber berbunyi 'MODEL FESYEN DAN MODEL LAINNYA'. Gunakan kolom kelompok_sisa sebagai penanda kode, bukan sebagai tafsir judul."
"penanda_sisa","sumber","informasi","E02542","754","959","Kode 754 bertanda kelompok sisa=tidak menurut aturan penomoran, tetapi penamaan sumber berbunyi 'PEKERJA PENGOLAHAN LAINNYA DAN YBDI'. Gunakan kolom kelompok_sisa sebagai penanda kode, bukan sebagai tafsir judul."
"penanda_sisa","sumber","informasi","E02597","8114","978","Kode 8114 bertanda kelompok sisa=tidak menurut aturan penomoran, tetapi penamaan sumber berbunyi 'OPERATOR MESIN PENGOLAHAN SEMEN, BATU, DAN MINERAL LAINNYA'. Gunakan kolom kelompok_sisa sebagai penanda kode, bukan sebagai tafsir judul."
"penanda_sisa","sumber","informasi","E02719","818","1017","Kode 818 bertanda kelompok sisa=tidak menurut aturan penomoran, tetapi penamaan sumber berbunyi 'OPERATOR MESIN STASIONER LAINNYA'. Gunakan kolom kelompok_sisa sebagai penanda kode, bukan sebagai tafsir judul."
"penanda_sisa","sumber","informasi","E02849","9112","1059","Kode 9112 bertanda kelompok sisa=tidak menurut aturan penomoran, tetapi penamaan sumber berbunyi 'TENAGA KEBERSIHAN DAN JURU BANTU DI KANTOR, HOTEL, DAN TEMPAT LAINNYA'. Gunakan kolom kelompok_sisa sebagai penanda kode, bukan sebagai tafsir judul."
"penanda_sisa","sumber","informasi","E02855","912","1061","Kode 912 bertanda kelompok sisa=tidak menurut aturan penomoran, tetapi penamaan sumber berbunyi 'TENAGA CUCI KENDARAAN, JENDELA, BINATU, DAN TENAGA KEBERSIHAN DENGAN TANGAN LAINNYA'. Gunakan kolom kelompok_sisa sebagai penanda kode, bukan sebagai tafsir judul."
"penanda_sisa","sumber","informasi","E02969","96","1097","Kode 96 bertanda kelompok sisa=tidak menurut aturan penomoran, tetapi penamaan sumber berbunyi 'PEKERJA SAMPAH DAN PEKERJA KASAR LAINNYA'. Gunakan kolom kelompok_sisa sebagai penanda kode, bukan sebagai tafsir judul."
"penanda_sisa","sumber","informasi","E02984","962","1101","Kode 962 bertanda kelompok sisa=tidak menurut aturan penomoran, tetapi penamaan sumber berbunyi 'PEKERJA KASAR LAINNYA'. Gunakan kolom kelompok_sisa sebagai penanda kode, bukan sebagai tafsir judul."
