"kategori","kelas","keparahan","id_entri","kode","halaman_pdf","detail"
"cakupan","sumber","informasi","","","159","Halaman tanpa teks isi (pembatas_bab_terdeteksi_gambar_halaman_penuh)."
"cakupan","sumber","informasi","","","160","Halaman tanpa teks isi (halaman_kosong_terdeteksi_tanpa_teks_dan_gambar)."
"cakupan","sumber","informasi","","","260","Halaman tanpa teks isi (halaman_kosong_terdeteksi_tanpa_teks_dan_gambar)."
"cakupan","sumber","informasi","","","261","Halaman tanpa teks isi (pembatas_bab_terdeteksi_gambar_halaman_penuh)."
"cakupan","sumber","informasi","","","262","Halaman tanpa teks isi (halaman_kosong_terdeteksi_tanpa_teks_dan_gambar)."
"cakupan","sumber","informasi","","","509","Halaman tanpa teks isi (pembatas_bab_terdeteksi_gambar_halaman_penuh)."
"cakupan","sumber","informasi","","","510","Halaman tanpa teks isi (halaman_kosong_terdeteksi_tanpa_teks_dan_gambar)."
"cakupan","sumber","informasi","","","714","Halaman tanpa teks isi (halaman_kosong_terdeteksi_tanpa_teks_dan_gambar)."
"cakupan","sumber","informasi","","","715","Halaman tanpa teks isi (pembatas_bab_terdeteksi_gambar_halaman_penuh)."
"cakupan","sumber","informasi","","","716","Halaman tanpa teks isi (halaman_kosong_terdeteksi_tanpa_teks_dan_gambar)."
"cakupan","sumber","informasi","","","757","Halaman tanpa teks isi (pembatas_bab_terdeteksi_gambar_halaman_penuh)."
"cakupan","sumber","informasi","","","758","Halaman tanpa teks isi (halaman_kosong_terdeteksi_tanpa_teks_dan_gambar)."
"cakupan","sumber","informasi","","","823","Halaman tanpa teks isi (pembatas_bab_terdeteksi_gambar_halaman_penuh)."
"cakupan","sumber","informasi","","","824","Halaman tanpa teks isi (halaman_kosong_terdeteksi_tanpa_teks_dan_gambar)."
"cakupan","sumber","informasi","","","868","Halaman tanpa teks isi (halaman_kosong_terdeteksi_tanpa_teks_dan_gambar)."
"cakupan","sumber","informasi","","","869","Halaman tanpa teks isi (pembatas_bab_terdeteksi_gambar_halaman_penuh)."
"cakupan","sumber","informasi","","","870","Halaman tanpa teks isi (halaman_kosong_terdeteksi_tanpa_teks_dan_gambar)."
"cakupan","sumber","informasi","","","966","Halaman tanpa teks isi (halaman_kosong_terdeteksi_tanpa_teks_dan_gambar)."
"cakupan","sumber","informasi","","","967","Halaman tanpa teks isi (pembatas_bab_terdeteksi_gambar_halaman_penuh)."
"cakupan","sumber","informasi","","","968","Halaman tanpa teks isi (halaman_kosong_terdeteksi_tanpa_teks_dan_gambar)."
"cakupan","sumber","informasi","","","1054","Halaman tanpa teks isi (halaman_kosong_terdeteksi_tanpa_teks_dan_gambar)."
"cakupan","sumber","informasi","","","1055","Halaman tanpa teks isi (pembatas_bab_terdeteksi_gambar_halaman_penuh)."
"cakupan","sumber","informasi","","","1056","Halaman tanpa teks isi (halaman_kosong_terdeteksi_tanpa_teks_dan_gambar)."
"penomoran","sumber","informasi","E02027","541","815","Golongan 541 TENAGA USAHA JASA PERLINDUNGAN: nomor subgolongan tidak berurutan. Kode yang tidak dipakai pada publikasi: 5412."
"penanda_sisa","sumber","informasi","E00435","14","244","Kode 14 bertanda kelompok sisa=tidak menurut aturan penomoran, tetapi penamaan sumber berbunyi 'MANAJER JASA PERHOTELAN, PERDAGANGAN, DAN JASA LAINNYA'. Gunakan kolom kelompok_sisa sebagai penanda kode, bukan sebagai tafsir judul."
"penanda_sisa","sumber","informasi","E00458","143","252","Kode 143 bertanda kelompok sisa=tidak menurut aturan penomoran, tetapi penamaan sumber berbunyi 'MANAJER JASA LAINNYA'. Gunakan kolom kelompok_sisa sebagai penanda kode, bukan sebagai tafsir judul."
"penanda_sisa","sumber","informasi","E00782","226","371","Kode 226 bertanda kelompok sisa=tidak menurut aturan penomoran, tetapi penamaan sumber berbunyi 'PROFESIONAL KESEHATAN LAINNYA'. Gunakan kolom kelompok_sisa sebagai penanda kode, bukan sebagai tafsir judul."
"penanda_sisa","sumber","informasi","E00882","235","403","Kode 235 bertanda kelompok sisa=tidak menurut aturan penomoran, tetapi penamaan sumber berbunyi 'PROFESIONAL BIDANG PENDIDIKAN LAINNYA'. Gunakan kolom kelompok_sisa sebagai penanda kode, bukan sebagai tafsir judul."
"penanda_sisa","sumber","informasi","E01129","2643","491","Kode 2643 bertanda kelompok sisa=tidak menurut aturan penomoran, tetapi penamaan sumber berbunyi 'PENERJEMAH, ALIH BAHASA, DAN PROFESIONAL BAHASA LAINNYA'. Gunakan kolom kelompok_sisa sebagai penanda kode, bukan sebagai tafsir judul."
"penanda_sisa","sumber","informasi","E01185","2656","504","Kode 2656 bertanda kelompok sisa=tidak menurut aturan penomoran, tetapi penamaan sumber berbunyi 'PENYIAR RADIO, TELEVISI, DAN MEDIA LAINNYA'. Gunakan kolom kelompok_sisa sebagai penanda kode, bukan sebagai tafsir judul."
"penanda_sisa","sumber","informasi","E01422","325","606","Kode 325 bertanda kelompok sisa=tidak menurut aturan penomoran, tetapi penamaan sumber berbunyi 'ASISTEN PROFESIONAL KESEHATAN LAINNYA'. Gunakan kolom kelompok_sisa sebagai penanda kode, bukan sebagai tafsir judul."
